alamat,harga,jumlah_kamar,luas_bangunan,luas_lahan
"Sawangan, Depok",1478000000,3,88,84
"Bojongsari, Depok",799000000,2,76,108
"Citayam, Depok",280000000,2,33,54
"Tugu, Depok",1100000000,3,90,104
"Sawangan, Depok",800000000,4,101,77
"Sawangan, Depok",1800000000,3,128,230
"Citayam, Depok",850000000,3,91,74
"Sawangan, Depok",760000000,2,45,84
"Cinangka, Depok",815000000,3,70,60
"Cinangka, Depok",1301000000,3,70,106
"Sawangan, Depok",2247000000,3,101,105
"Sawangan, Depok",775750000,2,60,95
"Sawangan, Depok",2140000000,4,171,144
"Margonda, Depok",2140000000,4,196,130
"Bedahan, Depok",450000000,2,43,60
"Cisalak, Depok",750000000,3,60,93
"Limo, Depok",2890000000,3,118,120
"Cimanggis, Depok",2470000000,3,107,145
"Beji, Depok",1917337550,6,164,82
"Sawangan, Depok",407000000,2,36,60
"Pondok Petir, Depok",680000000,2,50,62
"Sawangan, Depok",625000000,2,50,84
"Sawangan, Depok",540000000,2,40,60
"Cilodong, Depok",4500000000,3,200,450
"Cinere, Depok",55000000000,4,400,3900
"Cinere, Depok",6800000000,5,325,286
"Kalimulya, Depok",673100000,3,63,54
"Margonda, Depok",1170000000,3,64,84
Depok,265000000,2,36,50
"Sawangan, Depok",255000000,2,30,40
"Sawangan, Depok",1830000000,3,110,98
"Depok, Depok",385000000,2,36,60
"Cinere, Depok",325000000,2,36,60
"Cinere, Depok",195000000,2,30,30
"Cinere, Depok",1900000000,3,150,72
"Leuwi Nanggung, Depok",210000000,2,45,50
Depok,2845000000,3,200,305
"Sawangan, Depok",700000000,3,110,80
"Tanah Baru, Depok",1500000000,3,120,81
"Cilodong, Depok",650000000,2,50,88
"Margonda, Depok",1050000000,3,60,72
"Cipayung, Depok",199999000,1,21,40
"Pancoran Mas, Depok",650000000,2,38,65
"Sawangan, Depok",950000000,3,130,150
"Sawangan, Depok",1500000000,3,160,120
"Cilodong, Depok",620000000,3,90,66
"Cilodong, Depok",610000000,2,50,40
"Sawangan, Depok",774000000,2,45,99
"Cilodong, Depok",650000000,2,50,88
Depok,265000000,2,36,50
"Limo, Depok",1400000000,3,70,227
"Cimanggis, Depok",1480000000,3,90,136
"Sukmajaya, Depok",1075000000,3,72,70
"Cipayung, Depok",1490000000,4,100,90
"Kelapa Dua, Depok",1574600000,3,103,52
"Cilodong, Depok",875000000,3,72,65
"Pancoran Mas, Depok",420000000,2,40,66
"Cinere, Depok",1650000000,3,114,90
"Cilodong, Depok",875000000,3,80,72
"Cinere, Depok",5500000000,5,400,668
"Beji, Depok",1250000000,3,115,84
"Pancoran Mas, Depok",5000000000,5,600,500
"Cinere, Depok",1500000000,3,210,215
"Sawangan, Depok",992000000,3,85,127
"Sawangan, Depok",378250000,2,33,68
"Cisalak, Depok",1100000000,8,206,103
"Cilodong, Depok",625000000,3,90,50
"Sawangan, Depok",1475000000,3,120,80
"Bojongsari, Depok",799000000,2,76,108
Depok,1125000000,2,50,90
"Pengasinan, Depok",2163000000,4,150,150
"Bojongsari Baru, Depok",950000000,2,50,66
"Sawangan, Depok",585000000,2,40,60
"Sukmajaya, Depok",990000000,3,75,103
"Citayam, Depok",358000000,2,33,50
"Sukamaju Baru, Depok",685000000,3,65,60
"Citayam, Depok",375000000,2,45,62
"Beji, Depok",1295000000,3,115,84
"Beji, Depok",1175000000,3,80,60
"Pancoran Mas, Depok",822000000,3,70,74
"Cilodong, Depok",845000000,3,100,132
"Sawangan, Depok",1400000000,3,75,84
"Cinere, Depok",5200000000,5,625,360
"Sawangan, Depok",410000000,2,45,77
"Cinere, Depok",1850000000,4,100,150
"Beji, Depok",1475000000,5,190,100
"Sawangan, Depok",1500000000,3,115,96
"Limo, Depok",950000000,4,150,100
"Cinere, Depok",850000000,2,40,107
"Cilodong, Depok",500000000,2,45,42
Depok,540000000,2,60,40
"Depok, Depok",3000000000,4,195,160
"Cimanggis, Depok",670000000,2,36,60
"Cimanggis, Depok",840000000,2,45,90
"Sawangan Baru, Depok",390000000,2,36,60
Depok,375000000,2,45,72
"Sawangan, Depok",860000000,3,70,72
"Sawangan, Depok",610000000,2,45,72
"Cimanggis, Depok",3450000000,5,250,160
"Bojongsari, Depok",910000000,2,33,110
"Mampang, Depok",2650000000,5,200,143
"Sawangan, Depok",850000000,3,80,117
"Sawangan, Depok",1300000000,2,88,84
"Kelapa Dua, Depok",697000000,2,60,68
"Cilodong, Depok",596000000,3,50,40
"Cilodong, Depok",849000000,3,69,80
"Cimanggis, Depok",1190000000,3,90,105
"Cinere, Depok",2500000000,3,100,150
"Cinere, Depok",4950000000,3,500,370
"Cinere, Depok",4800000000,5,280,328
"Beji, Depok",1500000000,4,114,91
"Sawangan, Depok",1350000000,3,154,83
Depok,2300000000,3,109,112
Depok,851500000,3,140,131
"Cipayung, Depok",208729500,2,25,40
Depok,500000000,2,21,60
"Pondok Petir, Depok",1220000000,3,90,72
"Bojongsari, Depok",851500000,3,140,131
"Margonda, Depok",1500000000,5,150,135
"Cimanggis, Depok",10000000000,6,1275,1502
"Bojongsari, Depok",1200000000,2,60,152
"Tapos, Depok",1712000000,4,200,180
"Bojongsari, Depok",700000000,2,45,85
"Cilodong, Depok",1650000000,3,189,108
"Sawangan, Depok",415000000,2,45,77
"Cinere, Depok",5500000000,5,442,468
"Cipayung, Depok",486000000,2,65,71
"Cinere, Depok",2000000000,3,158,120
"Cinere, Depok",2700000000,3,160,84
"Pancoran Mas, Depok",450000000,2,72,72
"Sawangan, Depok",880000000,3,85,75
"Bedahan, Depok",557000000,2,45,60
"Sawangan, Depok",1200000000,3,120,170
"Cimanggis, Depok",807000000,3,36,84
"Bojongsari, Depok",815000000,3,72,66
"Kalimulya, Depok",810000000,3,70,60
"Cipayung, Depok",198790000,2,25,40
"Pancoran Mas, Depok",629000000,2,45,78
"Sawangan, Depok",199000000,2,40,36
"Beji, Depok",2320470000,10,240,82
"Sawangan, Depok",415000000,2,45,77
"Sawangan, Depok",540000000,2,40,60
"Cinere, Depok",450000000,3,50,90
"Bojongsari, Depok",1180000000,4,185,109
"Sukmajaya, Depok",680000000,2,30,90
"Cimanggis, Depok",630000000,2,56,52
"Rangkapan Jaya, Depok",1000000000,3,95,89
"Leuwi Nanggung, Depok",499000000,2,40,53
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",890000000,3,81,50
"Cilodong, Depok",499000000,2,50,98
"Cilodong, Depok",1490000000,4,100,90
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Kelapa Dua, Depok",1800000000,5,180,220
"Limo, Depok",930000000,2,55,91
"Cinere, Depok",5000000000,3,338,493
"Citayam, Depok",395000000,2,45,72
"Cilodong, Depok",677000000,2,36,78
"Citayam, Depok",175000000,2,40,40
"Cimanggis, Depok",1300000000,3,174,87
"Pondok Petir, Depok",851500000,3,131,140
"Tapos, Depok",700000000,3,72,60
"Sawangan Baru, Depok",1450000000,3,88,84
"Kalimulya, Depok",600000000,3,60,50
"Depok, Depok",1400000000,3,88,84
"Sawangan, Depok",1290000000,3,120,105
"Bojongsari, Depok",1100000000,3,56,78
"Sukmajaya, Depok",880000000,3,150,90
"Bojongsari, Depok",480000000,2,50,72
"Sawangan, Depok",375000000,2,40,60
"Sawangan, Depok",570000000,2,45,72
"Cipayung Jaya, Depok",320000000,3,60,50
"Cilodong, Depok",800000000,2,69,85
"Bojongsari, Depok",1625000000,4,120,82
"Depok, Depok",600000000,3,50,38
"Bojongsari, Depok",851500000,3,140,131
"Margonda, Depok",1070000000,2,47,110
"Cilodong, Depok",1340000000,2,100,120
"Sukmajaya, Depok",1020000000,2,100,111
"Pancoran Mas, Depok",10000000000,5,553,2098
"Cipayung, Depok",1099000000,2,48,144
"Sawangan, Depok",1200000000,4,220,110
Depok,335000000,2,30,52
"Cimanggis, Depok",7500000000,6,370,902
"Sawangan, Depok",606000000,2,45,71
"Sawangan, Depok",649632000,2,45,71
"Cimanggis, Depok",750000000,4,105,89
"Sawangan, Depok",897600000,2,45,80
"Pancoran Mas, Depok",550000000,3,60,72
"Tapos, Depok",510000000,2,46,40
"Tapos, Depok",700000000,2,36,50
"Pancoran Mas, Depok",210000000,2,50,60
"Limo, Depok",250000000,2,40,60
"Sawangan, Depok",398000000,2,42,30
"Sawangan Baru, Depok",1500000000,3,136,112
"Sawangan, Depok",640000000,2,50,73
"Cilodong, Depok",603000000,3,70,54
"Pengasinan, Depok",775000000,3,60,60
"Sawangan, Depok",495000000,2,50,82
"Curug, Depok",225000000,2,36,45
"Cinere, Depok",1250000000,2,63,98
"Cilodong, Depok",169000000,1,23,30
"Sawangan, Depok",1200000000,3,96,140
"Tanah Baru, Depok",890000000,3,61,68
"Kalibaru, Depok",629500000,3,60,99
"Depok, Depok",2500000000,2,110,210
"Sawangan, Depok",947000000,3,85,115
Depok,725000000,2,45,77
"Tapos, Depok",820000000,2,70,82
Depok,1640000000,3,95,84
"Cilangkap, Depok",625000000,3,90,50
Depok,660000000,2,45,80
"Kalimulya, Depok",800000000,3,70,65
"Kalimulya, Depok",540000000,2,40,64
"Sawangan, Depok",1475000000,3,120,80
"Sawangan, Depok",1475000000,3,120,80
"Sawangan, Depok",1475000000,3,120,80
Depok,725000000,2,745,77
"Sawangan, Depok",408000000,2,33,77
"Cilangkap, Depok",850000000,8,400,236
Depok,2600000000,3,220,188
"Limo, Depok",5500000000,6,600,700
"Cinere, Depok",1500000000,3,98,68
"Sawangan, Depok",1184000000,3,95,67
"Cilodong, Depok",1160000000,3,85,107
"Sawangan, Depok",275000000,2,45,60
"Cipayung, Depok",680000000,2,34,101
"Cinangka, Depok",555000000,2,42,55
"Serua, Depok",654000000,2,71,60
Depok,740000000,2,70,84
Depok,250000000,2,40,60
"Mekarsari, Depok",620000000,2,80,90
"Tapos, Depok",680000000,2,36,60
"Cinere, Depok",15000000000,9,700,1479
"Cinere, Depok",35000000000,8,500,2856
"Sawangan, Depok",980000000,3,60,112
"Sukmajaya, Depok",985000000,2,38,130
"Sawangan, Depok",1450000000,3,75,84
"Cimanggis, Depok",730000000,4,100,90
"Depok, Depok",667000000,2,50,50
"Cinere, Depok",2700000000,4,204,228
"Cimanggis, Depok",950000000,2,40,60
"Cimanggis, Depok",1500000000,5,200,130
"Depok, Depok",420000000,2,90,60
"Pengasinan, Depok",385000000,2,45,70
Depok,6000000000,5,450,321
"Citayam, Depok",699990000,3,60,60
"Cilodong, Depok",588000000,2,42,40
"Pancoran Mas, Depok",1005000000,3,80,77
"Cinere, Depok",3450000000,6,251,208
Depok,1220000000,3,90,72
"Cinere, Depok",7000000000,4,300,600
Depok,1800000000,5,200,160
"Cinere, Depok",1900000000,4,180,120
"Cilodong, Depok",895000000,3,70,70
"Kalimulya, Depok",810000000,3,70,60
"Cilodong, Depok",1175000000,2,45,120
"Pancoran Mas, Depok",3500000000,10,400,203
"Tapos, Depok",1200000000,3,96,105
"Margonda, Depok",730000000,2,45,93
"Cimanggis, Depok",709000000,2,47,45
"Margonda, Depok",1770000000,2,65,180
"Citayam, Depok",155000000,2,30,30
"Limo, Depok",999000000,3,66,67
"Sawangan, Depok",2300000000,3,109,112
"Cinere, Depok",1526000000,3,75,65
"Cimanggis, Depok",1100000000,2,45,72
"Cimanggis, Depok",1550000000,3,125,180
"Cilodong, Depok",1099000000,5,120,110
"Pangkalan Jati, Depok",6250000000,8,252,395
"Pengasinan, Depok",415000000,2,45,77
"Cilodong, Depok",876400000,3,68,56
"Sukmajaya, Depok",820000000,3,72,60
"Bojongsari, Depok",785000000,2,60,90
"Sukmajaya, Depok",800000000,3,110,140
"Sukmajaya, Depok",1200000000,4,300,72
"Bojongsari, Depok",830000000,2,44,96
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Beji, Depok",1820000000,4,220,150
"Cimanggis, Depok",630000000,2,56,52
"Beji, Depok",460000000,6,30,30
"Margonda, Depok",4590000000,9,500,1045
"Bojongsari, Depok",2790000000,3,150,128
"Pancoran Mas, Depok",1926000000,3,120,117
"Cinere, Depok",1290000000,3,45,123
"Bojongsari, Depok",550000000,2,50,72
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Kalibaru, Depok",739000000,2,72,167
"Cilodong, Depok",895000000,3,70,70
"Cilodong, Depok",1175000000,2,45,120
"Pancoran Mas, Depok",3500000000,10,400,203
"Cinere, Depok",7000000000,4,300,600
Depok,1800000000,5,200,160
"Cinere, Depok",1900000000,4,180,120
"Margonda, Depok",730000000,2,45,93
"Sawangan, Depok",690000000,3,64,72
"Kalimulya, Depok",810000000,3,70,60
"Cimanggis, Depok",709000000,2,47,45
"Margonda, Depok",1770000000,2,65,180
"Citayam, Depok",155000000,2,30,30
"Margonda, Depok",4590000000,9,500,1045
"Kalibaru, Depok",739000000,2,72,167
"Cimanggis, Depok",630000000,2,56,52
"Beji, Depok",1820000000,4,220,150
"Beji, Depok",460000000,6,30,30
"Cinere, Depok",1290000000,3,45,123
"Pancoran Mas, Depok",1926000000,3,120,117
"Bojongsari, Depok",550000000,2,50,72
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Bojongsari, Depok",2790000000,3,150,128
"Cimanggis, Depok",600000000,2,36,60
"Sawangan, Depok",530000000,2,40,58
"Sawangan, Depok",900000000,3,78,70
"Citayam, Depok",335000000,2,40,60
"Margonda, Depok",6000000000,4,450,321
"Sawangan, Depok",1980000000,3,110,98
"Citayam, Depok",150000000,2,35,35
"Tapos, Depok",2700000000,5,300,639
"Citayam, Depok",250000000,2,50,72
"Sawangan Baru, Depok",1100000000,4,101,77
"Cimanggis, Depok",975000000,2,80,106
"Limo, Depok",1200000000,3,80,120
"Cimanggis, Depok",350000000,2,24,38
"Depok, Depok",1200000000,4,200,113
"Margonda, Depok",2900000000,10,360,181
"Tapos, Depok",830000000,2,30,90
"Cilodong, Depok",3500000000,5,180,423
"Sawangan, Depok",1220000000,3,90,72
"Sawangan, Depok",635000000,2,68,98
"Pancoran Mas, Depok",1605000000,4,115,120
"Sawangan, Depok",1070000000,3,120,96
"Sawangan, Depok",1340000000,3,100,90
"Margonda, Depok",1400000000,2,53,123
"Sawangan, Depok",530000000,2,40,58
"Sawangan, Depok",900000000,3,78,70
"Citayam, Depok",753895000,3,68,76
"Margonda, Depok",6000000000,4,450,321
"Cinere, Depok",3750000000,4,150,240
"Sawangan Baru, Depok",1639000000,3,82,72
"Tapos, Depok",630000000,2,52,56
"Sawangan, Depok",678000000,2,47,40
"Sawangan, Depok",500000000,2,40,60
"Sawangan Baru, Depok",1700000000,3,136,112
"Sawangan, Depok",760000000,2,42,89
Depok,2700000000,3,118,120
"Cimanggis, Depok",1070000000,2,60,183
"Margonda, Depok",1200000000,3,123,93
"Sukmajaya, Depok",1180000000,2,38,90
"Harjamukti, Depok",3300000000,4,245,170
"Limo, Depok",1290000000,3,64,94
"Margonda, Depok",1500000000,8,200,155
"Depok, Depok",1050000000,3,120,98
"Pondok Petir, Depok",550000000,3,100,78
Depok,899000000,2,45,90
"Cinere, Depok",1300000000,2,63,98
Depok,220000000,2,30,40
Depok,1780000000,3,150,106
"Sawangan, Depok",1400000000,3,65,227
"Sawangan, Depok",947000000,3,85,115
"Sawangan, Depok",1475000000,3,120,80
"Tapos, Depok",880000000,2,42,90
"Sawangan, Depok",1475000000,3,120,80
"Sawangan, Depok",1475000000,3,120,80
"Beji, Depok",2473650000,10,210,95
"Sawangan, Depok",408000000,2,33,77
"Limo, Depok",1300000000,3,110,108
"Sawangan, Depok",448000000,2,49,42
"Cimanggis, Depok",1100000000,3,62,101
"Sukmajaya, Depok",899000000,2,45,90
"Cimanggis, Depok",674183000,2,36,60
"Pancoran Mas, Depok",875000000,2,90,96
"Citayam, Depok",375000000,2,45,62
Depok,891000000,3,62,60
"Sawangan, Depok",805000000,3,60,60
"Sawangan, Depok",661000000,2,45,48
"Sukmajaya, Depok",730000000,3,51,64
"Beji, Depok",776000000,2,51,60
"Cinangka, Depok",2200000000,7,185,416
"Cinere, Depok",3400000000,5,170,160
"Tapos, Depok",4500000000,3,200,300
"Cinere, Depok",2900000000,4,120,126
Depok,600000000,2,39,82
"Sawangan, Depok",540000000,2,40,60
"Cipayung Jaya, Depok",198790000,2,25,40
"Cinere, Depok",7500000000,6,338,450
"Gandul, Depok",4700000000,3,235,218
"Pengasinan, Depok",775000000,3,60,60
"Mekarsari, Depok",890000000,3,71,70
"Bedahan, Depok",540000000,2,40,60
"Sawangan, Depok",540000000,2,40,60
Depok,1800000000,6,190,291
"Sawangan, Depok",540000000,2,40,60
"Cimanggis, Depok",968000000,3,80,51
"Kalibaru, Depok",599000000,3,50,40
"Harjamukti, Depok",3750000000,4,234,330
"Cilodong, Depok",1300000000,3,110,84
"Sawangan, Depok",1800000000,5,180,244
"Bojongsari, Depok",1700000000,3,110,98
"Pancoran Mas, Depok",667000000,2,50,50
"Sawangan, Depok",1500000000,3,75,84
"Sawangan, Depok",1450000000,3,75,84
"Sawangan, Depok",1450000000,3,75,84
"Tanah Baru, Depok",999000000,3,90,55
"Tapos, Depok",820000000,3,72,60
"Depok, Depok",474550000,2,74,101
"Sawangan, Depok",2200000000,4,98,110
Depok,370000000,2,50,70
"Cilodong, Depok",850000000,3,84,63
"Cimanggis, Depok",775000000,3,70,41
Depok,2300000000,3,109,112
"Sawangan, Depok",540000000,2,40,60
Depok,1100000000,3,100,96
"Bojongsari, Depok",460000000,2,40,66
"Cipayung, Depok",1580000000,3,150,105
"Sawangan, Depok",875000000,3,85,72
"Tapos, Depok",700000000,2,40,91
"Sawangan, Depok",1820000000,4,150,90
"Citayam, Depok",810000000,2,36,136
"Cimanggis, Depok",630000000,2,56,52
"Cimanggis, Depok",630000000,2,56,52
"Beji, Depok",4500000000,3,300,618
"Sawangan, Depok",813000000,3,70,76
"Sawangan, Depok",755000000,3,60,60
"Bojongsari, Depok",950000000,2,90,120
"Depok, Depok",1300000000,3,75,90
"Bojongsari, Depok",815260000,3,72,66
"Sawangan, Depok",572000000,2,47,72
"Sukmajaya, Depok",1070000000,4,90,75
"Tapos, Depok",750000000,2,54,90
"Sawangan, Depok",1700000000,4,240,130
"Ratujaya, Depok",421190000,2,40,62
"Cimanggis, Depok",1250000000,3,90,100
"Sawangan, Depok",950000000,3,75,90
Depok,700000000,3,60,77
"Tapos, Depok",896000000,3,74,54
"Tapos, Depok",485000000,3,60,40
"Pancoran Mas, Depok",875000000,3,100,72
"Cimanggis, Depok",1055000000,2,60,90
"Cilodong, Depok",1000000000,3,104,80
"Cilodong, Depok",500000000,2,45,42
"Sawangan, Depok",715000000,3,60,50
"Sawangan, Depok",755000000,3,75,53
"Tapos, Depok",1300000000,4,120,128
"Sawangan, Depok",700000000,3,110,80
"Sawangan, Depok",1380000000,3,75,150
"Sawangan, Depok",970000000,2,60,97
"Cisalak, Depok",810000000,4,90,60
Depok,700000000,3,60,77
"Sawangan, Depok",1700000000,4,240,130
"Sukmajaya, Depok",1070000000,4,90,75
"Tapos, Depok",750000000,2,54,90
"Sawangan, Depok",950000000,3,75,90
"Cimanggis, Depok",1250000000,3,90,100
"Bojongsari, Depok",460000000,2,40,66
"Cipayung, Depok",1580000000,3,150,105
Depok,1100000000,3,100,96
"Sawangan, Depok",572000000,2,47,72
"Bojongsari, Depok",385000000,2,55,84
"Bojongsari, Depok",815260000,3,72,66
"Cipayung, Depok",910000000,3,91,74
"Sawangan, Depok",1000000000,3,105,97
"Cilodong, Depok",865000000,3,75,65
"Sukatani, Depok",1000000000,4,148,148
"Sawangan, Depok",785000000,3,60,62
"Sawangan, Depok",500000000,2,45,72
"Sukmajaya, Depok",280000000,2,42,42
"Serua, Depok",946800000,2,52,66
"Sawangan, Depok",1072800000,3,69,120
"Rangkapan Jaya, Depok",900000000,3,68,60
"Cisalak, Depok",810000000,4,90,60
"Sawangan, Depok",970000000,2,60,97
"Citayam, Depok",540000000,2,36,90
"Margonda, Depok",3000000000,4,101,232
"Cilodong, Depok",6150000000,3,75,53
"Margonda, Depok",1070000000,4,90,75
"Sawangan, Depok",1610000000,3,200,135
"Cimanggis, Depok",890000000,2,70,98
"Cimanggis, Depok",750000000,3,50,60
"Cinere, Depok",4300000000,5,255,225
"Cimanggis, Depok",2250000000,3,138,120
"Cinere, Depok",3500000000,5,400,240
"Pancoran Mas, Depok",900000000,6,200,130
"Sawangan, Depok",998000000,2,65,150
"Cinere, Depok",3250000000,3,300,225
"Cipayung, Depok",335000000,2,32,55
Depok,525000000,3,100,120
"Sawangan, Depok",595000000,2,42,84
"Cilodong, Depok",1100000000,2,60,72
"Sukmajaya, Depok",1400000000,4,150,220
"Citayam, Depok",329000000,2,60,84
"Tapos, Depok",525000000,2,39,72
"Cilodong, Depok",634642000,2,40,77
"Kemiri Muka, Depok",525000000,2,50,63
"Citayam, Depok",460000000,3,55,68
"Cilodong, Depok",677000000,2,36,78
Depok,901000000,2,56,74
"Depok, Depok",625000000,2,44,60
"Cilodong, Depok",1400000000,4,105,144
"Margonda, Depok",1720000000,5,200,127
"Bojongsari, Depok",540000000,2,36,72
"Kalimulya, Depok",1150000000,3,90,71
"Cipayung, Depok",980000000,3,75,50
"Cimanggis, Depok",890000000,3,81,50
"Cinere, Depok",1500000000,2,60,75
"Cimanggis, Depok",970000000,3,86,75
"Cimanggis, Depok",750000000,2,65,45
Depok,162000000,2,27,60
"Pengasinan, Depok",680000000,3,66,55
"Margonda, Depok",800000000,3,70,78
"Depok, Depok",4200000000,5,247,250
"Beji, Depok",990000000,3,108,64
"Rangkapan Jaya Baru, Depok",1200000000,3,90,100
"Pangkalan Jati, Depok",1450000000,3,90,60
"Sawangan, Depok",400000000,2,45,60
"Bojongsari, Depok",375000000,2,40,60
"Sawangan, Depok",588000000,2,58,55
"Bojongsari, Depok",375000000,2,40,60
"Jatimulya, Depok",676000000,2,40,68
"Kalibaru, Depok",735000000,2,49,74
"Sawangan, Depok",449000000,2,30,60
"Cinere, Depok",8000000000,10,300,599
"Depok, Depok",335000000,2,32,55
"Harjamukti, Depok",3500000000,4,234,330
"Jatimulya, Depok",676000000,2,40,68
"Jatimulya, Depok",480000000,2,45,72
"Cilodong, Depok",672000000,2,38,60
"Cilodong, Depok",795000000,3,60,63
"Sawangan, Depok",495000000,2,36,72
"Limo, Depok",980000000,3,100,80
"Bojongsari, Depok",540000000,2,60,86
"Cipayung Jaya, Depok",810000000,3,65,89
"Sawangan, Depok",660000000,2,50,82
"Bojongsari, Depok",851500000,3,140,131
"Rangkapan Jaya Baru, Depok",1220000000,3,62,73
"Sukmajaya, Depok",899000000,2,45,90
"Jatimulya, Depok",1490000000,4,100,90
"Sukmajaya, Depok",1500000000,2,36,171
"Sukmajaya, Depok",1500000000,2,36,172
"Cimanggis, Depok",899100000,3,61,50
"Cimanggis, Depok",945000000,3,80,40
"Sawangan, Depok",910000000,3,150,126
"Kalimulya, Depok",910000000,2,84,114
"Cinere, Depok",2066000000,3,130,87
"Beji, Depok",995000000,3,108,62
"Beji, Depok",1585000000,3,130,72
"Sawangan, Depok",984000000,3,125,72
"Beji, Depok",850000000,2,65,60
"Pancoran Mas, Depok",775000000,3,70,72
"Limo, Depok",750000000,2,65,80
Depok,715000000,2,56,75
"Pancoran Mas, Depok",1115000000,3,95,60
"Tanah Baru, Depok",1295000000,3,120,84
Depok,540000000,2,40,60
"Kukusan, Depok",1250000000,3,85,66
"Pondok Cina, Depok",1100000000,3,80,96
"Cilodong, Depok",806000000,3,56,62
"Tanah Baru, Depok",850000000,2,50,80
"Cimanggis, Depok",2074000000,3,117,143
"Citayam, Depok",390000000,2,36,60
"Cinere, Depok",2300000000,4,130,90
Depok,900000000,3,84,63
"Cilodong, Depok",225000000,1,1,101
"Cimanggis, Depok",1000000000,3,69,60
"Mekarsari, Depok",500000000,2,40,70
"Jatimulya, Depok",785000000,3,60,60
"Sawangan, Depok",1900000000,3,88,144
"Margonda, Depok",1350000000,3,105,95
"Cinere, Depok",2200000000,4,140,70
"Margonda, Depok",500000000,2,100,100
"Tapos, Depok",700000000,3,61,66
"Cilodong, Depok",588000000,2,42,44
"Sawangan, Depok",715000000,2,70,65
"Jatimulya, Depok",676000000,2,40,68
"Kalimulya, Depok",680000000,2,45,75
"Sawangan Baru, Depok",345000000,2,36,54
"Sawangan, Depok",529000000,2,36,63
"Cinangka, Depok",1050000000,3,100,112
"Cinere, Depok",2700000000,5,340,154
"Sawangan Baru, Depok",350000000,2,36,60
"Bojongsari, Depok",483200000,2,36,86
"Cimanggis, Depok",871350000,3,61,45
"Depok, Depok",1000000000,3,63,60
"Sawangan, Depok",549000000,2,42,60
"Margonda, Depok",699000000,3,80,97
"Sawangan, Depok",1440000000,3,90,152
"Cilodong, Depok",790000000,3,60,63
"Tapos, Depok",930000000,2,64,105
"Bojongsari, Depok",1240000000,2,80,112
"Bojongsari, Depok",851500000,3,131,140
"Bojongsari, Depok",650000000,2,46,52
"Cinere, Depok",3500000000,6,110,375
"Cinere, Depok",1200000000,2,85,78
"Depok Jaya, Depok",985000000,3,80,50
"Sawangan, Depok",670000000,2,68,84
"Beji, Depok",1596000000,3,130,72
"Beji, Depok",1600000000,3,130,71
"Limo, Depok",1450000000,4,110,86
"Citayam, Depok",300000000,2,40,70
